2026-04-16 18:12:52,194 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 650 → 700
2026-04-16 18:12:52,195 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:12:52,201 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 25
2026-04-16 18:12:52,647 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 700 → 750
2026-04-16 18:12:52,648 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:12:52,655 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 20
2026-04-16 18:12:53,079 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 750 → 800
2026-04-16 18:12:53,080 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:12:53,086 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 10
2026-04-16 18:12:53,629 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 800 → 850
2026-04-16 18:12:53,630 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:12:53,636 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 22
2026-04-16 18:12:54,209 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 850 → 900
2026-04-16 18:12:54,209 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:12:54,217 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 22
2026-04-16 18:12:55,196 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 900 → 950
2026-04-16 18:12:55,197 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:12:55,202 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 26
2026-04-16 18:12:56,010 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 950 → 1000
2026-04-16 18:12:56,011 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:12:56,015 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 31
2026-04-16 18:12:56,827 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 1000 → 1050
2026-04-16 18:12:56,829 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:12:56,836 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 48
2026-04-16 18:12:57,896 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 1050 → 1100
2026-04-16 18:12:57,897 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:12:57,906 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 48
2026-04-16 18:12:59,048 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 1100 → 1150
2026-04-16 18:12:59,049 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:12:59,055 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 43
2026-04-16 18:12:59,779 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 1150 → 1200
2026-04-16 18:12:59,780 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:12:59,786 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 40
2026-04-16 18:13:00,689 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 1200 → 1250
2026-04-16 18:13:00,690 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:13:00,697 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 47
2026-04-16 18:13:01,416 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 1250 → 1300
2026-04-16 18:13:01,417 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:13:01,425 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 44
2026-04-16 18:13:01,997 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 1300 → 1350
2026-04-16 18:13:01,998 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:13:02,006 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 48
2026-04-16 18:13:03,204 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 1350 → 1400
2026-04-16 18:13:03,205 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:13:03,210 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 20
2026-04-16 18:13:03,618 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 1400 → 1450
2026-04-16 18:13:03,619 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:13:03,625 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 37
2026-04-16 18:13:04,645 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 1450 → 1500
2026-04-16 18:13:04,646 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:13:04,655 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 23
2026-04-16 18:13:05,130 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 1500 → 1550
2026-04-16 18:13:05,131 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:13:05,139 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 27
2026-04-16 18:13:05,767 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 1550 → 1600
2026-04-16 18:13:05,768 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:13:05,775 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 29
2026-04-16 18:13:06,236 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 1600 → 1650
2026-04-16 18:13:06,237 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:13:06,245 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 20
2026-04-16 18:13:06,815 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 1650 → 1700
2026-04-16 18:13:06,815 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:13:06,823 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 32
2026-04-16 18:13:07,776 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 1700 → 1750
2026-04-16 18:13:07,777 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:13:07,782 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 40
2026-04-16 18:13:08,658 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 1750 → 1800
2026-04-16 18:13:08,659 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:13:08,667 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 40
2026-04-16 18:13:09,510 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 1800 → 1850
2026-04-16 18:13:09,511 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:13:09,518 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 28
2026-04-16 18:13:09,953 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 1850 → 1900
2026-04-16 18:13:09,954 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:13:09,963 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 38
2026-04-16 18:13:10,505 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 1900 → 1950
2026-04-16 18:13:10,506 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:13:10,512 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 40
2026-04-16 18:13:11,262 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 1950 → 2000
2026-04-16 18:13:11,263 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:13:11,270 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 48
2026-04-16 18:13:12,016 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 2000 → 2050
2026-04-16 18:13:12,017 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:13:12,025 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 35
2026-04-16 18:13:12,520 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 2050 → 2100
2026-04-16 18:13:12,521 | INFO | backend.src.vectorstore.faiss_store | Adding 50 docs to FAISS
2026-04-16 18:13:12,526 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 33
2026-04-16 18:13:12,986 | INFO | backend.src.pipeline.ingestion_pipeline | FAISS Batch 2100 → 2135
2026-04-16 18:13:12,986 | INFO | backend.src.vectorstore.faiss_store | Adding 35 docs to FAISS
2026-04-16 18:13:12,988 | INFO | backend.src.vectorstore.faiss_store | Batch 0 → 24
2026-04-16 18:13:13,444 | INFO | backend.src.pipeline.ingestion_pipeline | Processing graph...
2026-04-16 18:13:13,444 | INFO | backend.src.pipeline.ingestion_pipeline | Creating new graph...
2026-04-16 18:13:13,445 | INFO | backend.src.graph_rag.graph_builder | Processing batch...
2026-04-16 18:13:13,445 | INFO | backend.src.graph_rag.graph_builder | 
 Processing doc (type=None) | hash=829dcedf
2026-04-16 18:13:13,446 | INFO | backend.src.graph_rag.graph_builder | Fast → projects:0, materials:0, relations:0
2026-04-16 18:13:13,446 | INFO | backend.src.graph_rag.graph_builder | Trigger LLM: No projects found
2026-04-16 18:13:13,446 | INFO | backend.src.graph_rag.graph_builder | LLM triggered...
2026-04-16 18:13:17,948 | INFO | backend.src.graph_rag.graph_builder | LLM returned empty → skipping
2026-04-16 18:13:17,949 | INFO | backend.src.graph_rag.graph_builder | 
 Processing doc (type=None) | hash=b70c279d
2026-04-16 18:13:17,949 | INFO | backend.src.graph_rag.graph_builder | Fast → projects:0, materials:0, relations:0
